City_Name,State,Year,Population,Job_Postings,College_Count,Skill_Center_Count,Green_Cover_Percentage,Internet_Penetration_Rate,Startup_Count,Road_Connectivity_Score,Public_Transport_Availability,Affordability_Index,Opportunity_Access_Score
Rohtak,Haryana,2020,318134,37438,15,33,21.61,89.48,502,53.19,6.66,22.9,54.28
Jalandhar,Punjab,2025,1372386,31110,51,8,44.69,49.17,622,62.01,53.35,89.39,78.86
Rohtak,Haryana,2020,953088,44028,27,33,11.68,71.34,521,49.4,75.46,10.29,53.65
Aizawl,Mizoram,2023,302967,40631,15,29,36.99,66.75,323,72.23,72.0,64.11,69.39
Moradabad,Uttar Pradesh,2021,1535434,34884,20,11,57.95,58.84,133,40.09,46.2,94.73,15.34
Aligarh,Uttar Pradesh,2025,996209,17368,97,47,46.3,72.61,355,91.88,79.01,2.3,65.14
Port Blair,Andaman and Nicobar Islands,2023,1869246,44409,9,29,15.21,86.22,778,45.08,11.32,98.48,83.89
Kozhikode,Kerala,2020,594592,34622,54,40,40.39,60.86,308,33.52,80.29,0.46,33.35
Nellore,Andhra Pradesh,2021,1912554,7973,2,7,27.35,80.56,528,58.71,3.28,91.27,24.82
Nellore,Andhra Pradesh,2023,906388,22359,33,49,49.02,55.27,665,1.31,66.35,17.8,96.11
Port Blair,Andaman and Nicobar Islands,2023,414997,24917,92,40,35.11,72.75,140,39.73,42.68,79.98,34.94
Tirupati,Andhra Pradesh,2024,1890380,42460,30,16,38.24,43.61,589,71.41,52.76,53.45,48.11
Tirupati,Andhra Pradesh,2025,1043026,12342,3,32,23.62,89.36,161,40.87,2.54,15.62,71.6
Thanjavur,Tamil Nadu,2020,1356182,47063,87,8,15.21,84.0,578,88.75,55.67,72.08,80.53
Nanded,Maharashtra,2025,830399,47917,16,4,57.22,47.76,909,29.31,89.63,1.3,8.55
Kozhikode,Kerala,2024,808754,20079,19,36,42.15,78.72,896,81.74,34.18,25.94,37.97
Kozhikode,Kerala,2023,478387,14596,37,38,48.69,59.95,52,29.45,94.85,76.36,14.01
Ujjain,Madhya Pradesh,2025,643351,2106,87,32,31.26,41.24,525,74.17,69.88,40.26,21.8
Kolhapur,Maharashtra,2022,1462413,41401,29,45,44.56,77.58,837,91.43,11.78,57.65,27.41
Dehradun,Uttarakhand,2024,328504,12875,87,42,17.0,54.5,286,87.39,59.74,60.05,66.5
Jamnagar,Gujarat,2021,1600844,11664,26,21,29.16,68.54,575,35.39,95.86,18.44,9.03
Rajahmundry,Andhra Pradesh,2024,681780,24063,36,49,46.08,73.57,309,47.61,66.37,93.68,73.26
Udaipur,Rajasthan,2021,1909955,8942,20,19,39.75,42.83,957,95.52,15.47,62.33,47.42
Warangal,Telangana,2020,793264,34008,61,43,39.91,65.28,802,81.91,79.94,69.47,27.21
Vellore,Tamil Nadu,2023,675762,26212,44,49,16.84,92.26,822,52.13,8.67,95.82,75.84
Tiruchirappalli,Tamil Nadu,2024,1159920,1750,80,6,59.03,89.69,267,22.12,98.77,94.41,3.94
Ujjain,Madhya Pradesh,2020,1816118,22297,85,22,55.77,41.87,628,73.1,19.26,11.53,42.18
Thanjavur,Tamil Nadu,2021,1971070,25510,99,18,36.12,75.45,525,59.63,23.0,12.06,7.7
Saharanpur,Uttar Pradesh,2022,234055,31705,55,23,13.27,57.34,496,53.84,66.17,73.79,52.02
Agartala,Tripura,2021,961291,15229,66,35,53.5,41.17,758,18.55,38.4,93.26,7.0
Imphal,Manipur,2023,1980092,29629,93,44,41.38,88.05,238,39.83,9.17,33.64,52.25
Ranchi,Jharkhand,2025,1889616,2050,45,14,24.85,86.91,145,23.36,4.21,1.79,98.77
Warangal,Telangana,2020,222744,23895,68,12,57.82,83.89,996,8.94,41.76,87.91,94.47
Meerut,Uttar Pradesh,2025,658924,14561,25,7,59.56,52.74,659,83.78,23.06,83.06,12.03
Shillong,Meghalaya,2021,1395160,17320,3,6,50.04,74.64,726,88.38,92.78,99.49,17.39
Puducherry,Puducherry,2022,1929553,25425,62,17,17.69,84.87,997,62.29,74.79,3.49,89.49
Saharanpur,Uttar Pradesh,2021,1821610,18024,56,3,23.65,66.22,194,95.57,86.21,80.95,65.52
Madurai,Tamil Nadu,2022,412250,15585,88,15,10.25,78.26,175,49.59,8.1,22.02,68.33
Madurai,Tamil Nadu,2024,669936,38001,40,45,34.03,72.58,697,57.13,66.21,54.38,86.45
Udaipur,Rajasthan,2025,1234807,7314,80,40,22.26,48.65,815,70.84,83.7,69.75,68.01
Salem,Tamil Nadu,2025,1202523,22534,5,43,58.07,65.6,30,82.58,12.89,33.51,74.35
Tiruchirappalli,Tamil Nadu,2021,512003,48845,77,29,22.93,50.62,524,61.69,98.12,63.18,25.98
Nanded,Maharashtra,2024,358722,1007,70,19,48.05,69.77,223,84.01,39.22,17.95,75.37
Kolhapur,Maharashtra,2023,1876531,18271,68,27,18.32,82.4,400,58.22,34.59,62.09,4.57
Gangtok,Sikkim,2025,1579359,49838,29,12,47.48,47.15,380,38.36,6.56,82.15,37.18
Tumkur,Karnataka,2022,389226,29241,87,26,17.95,65.77,515,42.62,45.14,16.36,79.48
Thanjavur,Tamil Nadu,2022,385555,46766,78,20,42.73,55.03,848,96.32,3.13,73.13,90.95
Saharanpur,Uttar Pradesh,2022,808691,48901,19,5,59.2,62.51,891,72.44,74.58,20.04,86.81
Nanded,Maharashtra,2023,1174961,38158,80,27,58.41,50.2,656,9.12,15.37,45.37,53.04
Jamnagar,Gujarat,2022,1865724,17343,44,24,56.04,73.92,557,46.21,0.12,59.83,60.73
Jabalpur,Madhya Pradesh,2023,1419432,38565,48,22,39.1,54.79,343,43.32,98.44,14.96,46.46
Tirupati,Andhra Pradesh,2021,488590,41125,32,11,44.75,87.31,101,90.78,72.43,74.92,14.59
Gwalior,Madhya Pradesh,2020,545485,38559,79,16,34.12,51.57,672,55.96,0.98,32.65,51.77
Udaipur,Rajasthan,2020,276076,18333,33,13,13.93,61.83,193,97.75,20.09,69.32,82.14
Puducherry,Puducherry,2023,424912,6090,61,3,54.81,72.71,72,5.2,54.13,70.91,87.1
Gangtok,Sikkim,2023,1043187,13629,7,11,54.74,70.12,313,78.38,48.09,4.08,16.4
Amravati,Maharashtra,2022,1032817,15349,12,23,42.51,66.36,242,21.92,97.59,33.69,18.21
Tumkur,Karnataka,2022,320971,20049,70,18,42.66,58.28,311,97.48,65.03,19.95,68.02
Thanjavur,Tamil Nadu,2025,1728094,46286,97,7,33.13,87.75,158,41.59,84.62,62.88,73.54
Jabalpur,Madhya Pradesh,2023,401207,48689,49,32,39.4,41.62,865,48.67,87.34,90.07,42.17
Puducherry,Puducherry,2022,379922,45241,12,3,41.15,74.74,910,23.58,77.6,40.53,60.19
Puducherry,Puducherry,2023,1345709,22861,2,37,52.72,67.08,317,9.74,40.5,59.29,57.94
Jabalpur,Madhya Pradesh,2021,300422,45893,17,25,58.47,54.2,228,0.9,58.84,59.87,39.67
Kozhikode,Kerala,2022,1856169,44738,14,16,35.99,58.54,861,14.58,44.94,58.79,94.86
Jabalpur,Madhya Pradesh,2023,316184,35946,37,47,43.19,66.1,496,70.54,44.64,86.42,55.81
Jabalpur,Madhya Pradesh,2021,1667053,16001,73,37,56.83,42.16,118,22.47,18.0,8.86,10.33
Amravati,Maharashtra,2023,1792137,41235,53,24,44.3,40.96,216,63.91,86.79,45.47,51.56
Gangtok,Sikkim,2023,179141,12115,23,45,17.18,91.69,891,67.34,96.99,9.39,67.26
Tumkur,Karnataka,2025,1783541,48320,55,26,28.71,40.96,977,61.78,86.89,57.06,3.04
Hubli,Karnataka,2020,416205,30659,33,1,20.78,76.24,52,66.7,57.72,34.86,15.93
Jalandhar,Punjab,2020,1078080,7848,89,48,47.62,44.98,158,73.84,87.85,40.41,32.7
Rohtak,Haryana,2022,1082469,36321,82,13,49.89,63.96,330,37.57,29.69,64.91,32.84
Ranchi,Jharkhand,2023,858470,34958,21,19,29.43,64.68,304,54.57,44.44,1.47,58.71
Hubli,Karnataka,2025,1602025,25537,46,9,28.99,87.48,815,84.72,91.42,81.38,10.89
Madurai,Tamil Nadu,2021,1202127,11556,79,44,33.83,61.69,342,81.3,71.81,95.55,1.82
Kozhikode,Kerala,2022,1125014,4431,47,15,22.17,90.99,782,19.72,47.92,19.46,16.63
Mysuru,Karnataka,2024,980179,27117,27,29,50.15,69.65,143,8.96,71.76,39.99,97.67
Rajahmundry,Andhra Pradesh,2020,186365,34054,95,44,19.07,68.88,582,29.53,79.34,18.52,91.78
Jabalpur,Madhya Pradesh,2023,636437,34566,54,1,28.68,68.96,558,95.14,60.16,81.92,88.42
Warangal,Telangana,2021,661672,16393,88,42,55.0,59.44,153,25.56,30.21,73.2,85.12
Panipat,Haryana,2021,1476401,37778,36,10,32.59,72.26,686,23.52,86.93,47.29,53.54
Kolhapur,Maharashtra,2024,1688878,27042,92,7,37.33,52.76,589,63.2,5.85,14.18,27.45
Jamnagar,Gujarat,2024,357681,28482,42,39,46.23,40.87,279,12.84,10.41,72.43,57.84
Panipat,Haryana,2024,1464973,12323,97,36,19.59,57.79,890,34.36,61.72,44.24,83.19
Madurai,Tamil Nadu,2023,1447098,4255,21,8,54.0,75.8,811,32.43,33.3,66.95,99.41
Visakhapatnam,Andhra Pradesh,2025,813936,9686,30,8,39.02,44.88,452,17.53,69.0,20.09,53.58
Tirupati,Andhra Pradesh,2020,224982,3083,17,16,43.25,83.75,655,38.25,11.98,97.42,2.0
Jabalpur,Madhya Pradesh,2023,118752,32376,30,21,14.65,54.14,455,75.53,12.77,82.61,78.2
Vellore,Tamil Nadu,2024,218413,16163,97,23,23.16,59.81,340,34.63,23.91,50.97,82.53
Kozhikode,Kerala,2021,136035,37174,6,35,49.31,71.6,315,85.14,20.85,93.06,11.64
Durgapur,West Bengal,2024,1183170,11421,88,42,53.4,84.33,847,21.2,81.87,32.25,2.29
Salem,Tamil Nadu,2021,1803377,7373,20,18,42.05,85.24,792,47.94,31.37,60.64,13.92
Cuttack,Odisha,2025,1091469,14716,52,3,57.64,85.39,652,36.75,6.82,2.58,13.52
Mysuru,Karnataka,2024,1015387,23563,32,32,39.71,91.5,531,43.95,10.57,64.08,21.6
Visakhapatnam,Andhra Pradesh,2023,323894,6610,31,5,49.04,65.29,641,48.46,75.43,61.95,29.74
Kozhikode,Kerala,2022,1193512,29794,21,9,49.13,54.6,262,69.22,6.23,50.94,99.67
Dehradun,Uttarakhand,2024,527387,41779,93,36,36.35,63.43,62,79.21,40.48,65.41,35.42
Salem,Tamil Nadu,2023,914037,34317,71,37,29.35,93.01,182,41.62,48.13,1.92,25.98
Ujjain,Madhya Pradesh,2021,1138199,5542,5,1,26.18,85.89,492,97.59,80.15,95.96,48.79
Bhavnagar,Gujarat,2020,563547,10634,63,21,52.22,45.39,793,12.72,86.47,24.35,65.17
Bhavnagar,Gujarat,2020,1439100,26035,29,38,29.62,92.59,624,95.53,78.69,31.54,68.81
Kohima,Nagaland,2024,404224,23561,58,40,33.07,75.05,801,38.63,45.01,22.7,88.94
Kozhikode,Kerala,2024,1245298,47684,32,44,35.61,77.41,844,3.8,74.62,65.9,80.21
Bhavnagar,Gujarat,2020,1296179,22804,58,31,24.83,59.23,398,94.23,78.38,35.48,41.21
Madurai,Tamil Nadu,2025,1012735,10759,64,10,11.05,44.52,219,89.89,78.25,22.78,97.6
Bilaspur,Chhattisgarh,2021,846434,11824,36,4,48.73,75.41,377,47.83,89.58,32.22,12.52
Salem,Tamil Nadu,2021,1470485,33548,53,32,47.4,84.65,891,15.66,4.37,11.08,59.85
Warangal,Telangana,2020,170119,38714,78,25,18.18,55.06,979,12.15,19.75,88.69,64.58
Bhavnagar,Gujarat,2021,224447,48758,39,49,22.92,69.92,148,75.5,46.05,84.2,72.85
Jamnagar,Gujarat,2023,732543,28927,86,22,59.23,91.56,796,72.79,10.79,68.53,9.19
Gangtok,Sikkim,2022,1326134,20567,44,13,30.67,81.7,352,50.84,29.75,56.5,68.89
Panipat,Haryana,2023,361486,9496,8,42,37.9,84.65,875,72.65,99.18,9.92,40.15
Puducherry,Puducherry,2021,1913994,2520,10,21,46.65,73.88,922,68.79,37.53,53.87,52.42
Puducherry,Puducherry,2021,616409,10805,12,17,10.55,81.23,436,36.79,32.69,14.89,30.56
Guntur,Andhra Pradesh,2024,969049,34947,4,20,49.02,51.95,153,39.15,41.26,69.56,0.32
Rohtak,Haryana,2025,204195,33848,45,20,30.12,88.08,220,64.23,6.49,58.0,56.15
Mysuru,Karnataka,2025,1257655,161,30,18,40.11,41.26,914,49.83,7.71,5.86,33.42
Tirupati,Andhra Pradesh,2021,793221,13428,31,36,35.86,64.21,739,12.24,73.55,23.59,37.14
Port Blair,Andaman and Nicobar Islands,2022,518267,27386,47,11,46.68,56.47,160,42.12,63.62,78.57,11.83
Jalandhar,Punjab,2025,741147,48998,9,26,39.39,50.15,572,97.96,16.53,70.03,58.58
Agartala,Tripura,2025,153072,24570,51,19,22.96,63.63,580,84.19,18.61,80.26,45.82
Madurai,Tamil Nadu,2023,869605,26201,4,39,55.2,90.02,791,72.95,76.55,15.89,61.02
Tiruchirappalli,Tamil Nadu,2023,1031479,45603,85,30,24.14,42.45,341,26.17,24.7,90.63,24.95
Cuttack,Odisha,2025,855678,9833,89,13,23.41,48.6,227,3.36,6.27,90.64,13.92
Mysuru,Karnataka,2021,1703546,32262,70,15,11.09,76.51,147,12.8,88.21,39.34,82.79
Amravati,Maharashtra,2020,1562436,18745,21,18,17.25,79.88,932,56.53,46.39,97.2,60.85
Silchar,Assam,2020,1680209,29300,68,42,14.44,77.61,288,52.34,11.48,86.01,72.28
Silchar,Assam,2025,145232,21008,98,6,21.31,86.58,841,16.58,94.57,85.0,66.9
Vellore,Tamil Nadu,2022,506140,3750,86,12,13.11,68.19,955,35.6,97.81,79.4,49.73
Tumkur,Karnataka,2024,768179,9369,68,46,47.71,40.99,743,87.78,87.96,87.06,23.88
Silchar,Assam,2021,1136059,39961,63,2,13.26,65.52,967,28.24,39.07,79.83,37.19
Kozhikode,Kerala,2020,1855514,13489,43,19,32.05,50.76,267,52.33,28.71,79.29,57.76
Kakinada,Andhra Pradesh,2020,271918,22447,82,42,32.38,70.68,385,31.68,85.72,90.61,27.69
Muzaffarpur,Bihar,2025,471616,19584,8,37,46.63,85.12,612,44.03,61.53,8.35,88.24
Gwalior,Madhya Pradesh,2022,1491405,44918,16,1,30.89,94.13,532,72.52,32.3,99.71,97.98
Salem,Tamil Nadu,2024,896184,43360,68,25,51.15,51.54,644,97.35,33.68,29.65,91.82
Jalandhar,Punjab,2022,1410267,16299,11,2,51.08,65.26,724,25.43,81.93,87.98,52.54
Kohima,Nagaland,2024,745275,20215,90,33,21.99,47.81,40,73.97,19.13,61.38,43.55
Kolhapur,Maharashtra,2020,696804,18058,94,15,22.7,41.71,892,67.62,32.51,68.63,6.96
Panipat,Haryana,2025,1253224,38547,1,8,13.63,44.24,578,69.42,51.27,30.53,21.26
Bhavnagar,Gujarat,2020,1111316,44333,14,36,53.56,82.13,866,5.91,89.88,65.08,87.42
Salem,Tamil Nadu,2022,742650,17761,46,38,21.34,60.99,701,38.04,97.68,11.07,42.25
Nellore,Andhra Pradesh,2025,563001,47717,87,22,52.92,56.07,946,82.6,69.93,83.95,98.18
Amravati,Maharashtra,2020,373146,13947,19,47,32.49,52.01,436,54.07,9.65,24.19,1.24
Nellore,Andhra Pradesh,2025,1014634,29492,99,41,25.0,80.88,707,6.45,87.72,87.73,33.04
Kolhapur,Maharashtra,2020,1211671,5374,55,16,21.98,83.7,669,42.92,26.78,78.92,57.33
Kakinada,Andhra Pradesh,2024,1620943,44900,67,44,15.75,45.16,444,3.26,86.86,6.47,95.58
Hubli,Karnataka,2024,591862,32174,40,12,55.53,65.54,526,60.19,89.25,44.34,60.71
Rohtak,Haryana,2023,1079448,12466,4,7,16.58,52.88,75,48.77,65.22,95.05,60.07
Silchar,Assam,2020,1836263,42070,38,6,54.57,40.16,572,47.25,4.56,14.0,27.68
Ranchi,Jharkhand,2020,1355516,42604,99,40,33.49,64.61,851,20.7,51.66,0.55,0.77
Hubli,Karnataka,2022,849971,37755,97,26,33.14,64.12,703,51.27,29.35,93.18,39.7
Saharanpur,Uttar Pradesh,2020,1677512,33623,21,39,38.74,41.63,703,70.23,99.28,13.15,27.47
Ranchi,Jharkhand,2023,1681074,44363,72,8,43.55,54.2,444,30.94,82.38,95.51,82.12
Hubli,Karnataka,2020,834042,13654,30,45,51.48,42.23,851,68.66,11.45,38.38,45.62
Durgapur,West Bengal,2024,1901874,34542,28,40,47.56,43.91,377,32.11,74.99,41.27,64.61
Ujjain,Madhya Pradesh,2021,1576402,10058,77,10,35.11,47.64,712,61.26,87.37,72.4,12.06
Visakhapatnam,Andhra Pradesh,2024,261445,33154,16,30,17.11,40.64,267,29.5,48.6,57.72,4.37
Kakinada,Andhra Pradesh,2025,308944,9342,95,25,46.46,75.88,795,38.74,85.18,40.39,7.76
Warangal,Telangana,2024,1879685,36027,98,32,51.12,87.17,846,75.94,9.89,88.97,1.23
Moradabad,Uttar Pradesh,2023,1889856,42903,39,34,18.34,63.68,195,4.48,76.19,94.66,33.98
Ujjain,Madhya Pradesh,2023,117297,2011,35,43,29.29,83.54,394,31.12,67.71,60.58,36.46
Gwalior,Madhya Pradesh,2025,1767904,17438,4,49,17.03,66.71,375,97.75,53.19,13.58,9.93
Imphal,Manipur,2025,1579018,6591,91,42,29.77,57.23,124,45.85,28.92,90.01,11.61
Puducherry,Puducherry,2023,108036,31778,87,6,40.15,85.47,368,8.82,60.69,15.16,3.09
Tumkur,Karnataka,2025,1783523,27716,37,41,37.69,69.79,853,24.69,83.85,35.62,82.68
Agartala,Tripura,2022,1874329,340,46,44,21.75,85.69,835,34.73,58.05,13.92,44.4
Aizawl,Mizoram,2021,651050,13283,51,17,46.73,56.53,213,56.94,62.07,20.13,39.51
Solapur,Maharashtra,2024,1970436,43171,19,27,55.47,79.72,684,45.85,3.8,74.59,54.93
Madurai,Tamil Nadu,2020,494423,46099,41,46,11.72,93.33,882,46.27,98.1,48.34,86.35
Moradabad,Uttar Pradesh,2025,521280,13527,23,15,40.29,90.53,498,57.73,86.56,98.07,40.76
Aizawl,Mizoram,2023,1976870,33132,35,48,59.81,43.27,940,43.91,84.7,89.31,6.25
Rohtak,Haryana,2022,430170,46092,47,46,21.04,80.37,113,47.68,68.77,72.27,69.25
Puducherry,Puducherry,2025,1935284,17611,66,41,23.94,51.59,56,79.34,99.05,20.07,99.46
Muzaffarpur,Bihar,2025,766246,12866,65,36,51.71,80.73,548,0.57,93.71,82.19,80.92
Ranchi,Jharkhand,2023,1505474,10433,63,40,29.96,79.77,973,40.75,40.71,6.6,34.88
Vijayawada,Andhra Pradesh,2025,657243,44716,96,34,10.3,45.55,357,29.96,7.69,50.06,79.45
Cuttack,Odisha,2025,1909595,39233,66,26,30.14,56.24,507,86.34,40.13,29.25,15.23
Salem,Tamil Nadu,2025,987516,23782,53,39,21.3,75.23,436,3.37,21.46,41.61,75.96
Tiruchirappalli,Tamil Nadu,2020,378710,7190,32,10,39.29,74.36,563,63.71,52.63,46.32,23.47
Nanded,Maharashtra,2025,1391293,18691,77,23,46.03,62.08,926,28.43,13.38,62.96,5.43
Gwalior,Madhya Pradesh,2020,976110,46520,95,49,35.56,42.58,95,59.35,89.57,58.33,46.7
Jalandhar,Punjab,2024,180811,5276,28,11,51.34,47.15,136,84.27,31.33,78.89,89.19
Aligarh,Uttar Pradesh,2022,1281872,41157,56,12,43.76,46.38,470,49.38,38.76,63.27,70.39
Ujjain,Madhya Pradesh,2024,767540,33002,13,37,58.3,81.86,784,67.61,94.4,26.9,47.54
Guntur,Andhra Pradesh,2023,1536457,45968,48,39,35.02,63.8,302,11.1,63.44,77.08,0.29
Jamnagar,Gujarat,2020,102257,27364,13,36,52.52,51.66,328,86.98,73.05,64.77,79.62
Kozhikode,Kerala,2024,1363340,20360,88,8,42.58,80.62,27,97.46,5.22,68.22,46.82
